audit_version,book_id,viewer_key,catalog_generation,grade,viewer_page,ocr_ok,ocr_char_count,edition_term,copyright_term,printing_term,isbn_term,edition_year_candidates,copyright_year_candidates,printing_year_candidates,isbn_candidates,all_years_detected
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1993-DH,H1993P6CI209,1993,6,5,1,896,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1993-DH,H1993P6CI209,1993,6,6,1,9,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1993-DH,H1993P6CI209,1993,6,7,1,75,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1993-DH,H1993P6CI209,1993,6,8,1,2141,1,0,0,0,1969,,,,1969
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1993-CN,H1993P6CI210,1993,6,1,1,34,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1993-CN,H1993P6CI210,1993,6,2,1,2808,1,0,1,1,1994;1995;1996,,1994;1995;1996,968-29-6256-0,1968;1994;1995;1996
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1993-CN,H1993P6CI210,1993,6,3,1,1234,0,0,0,0,,,,,1993
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1993-CN,H1993P6CI210,1993,6,4,1,729,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1993-CN,H1993P6CI210,1993,6,5,1,511,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1993-CN,H1993P6CI210,1993,6,6,1,438,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1993-CN,H1993P6CI210,1993,6,7,1,95,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G1993-CN,H1993P6CI210,1993,6,8,1,1030,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G2014,H2014P4CNA,2014,4,1,1,73,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G2014,H2014P4CNA,2014,4,2,1,3320,1,1,1,0,1962;2010;2011;2014;2017;2018,2011;2014;2017;2018,2014;2017;2018,,1962;2010;2011;2014;2017;2018
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G2014,H2014P4CNA,2014,4,3,1,2250,0,0,0,0,,,,,1962
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G2014,H2014P4CNA,2014,4,4,1,1307,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G2014,H2014P4CNA,2014,4,5,1,1784,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G2014,H2014P4CNA,2014,4,6,1,1055,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G2014,H2014P4CNA,2014,4,7,1,737,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G2014,H2014P4CNA,2014,4,8,1,39,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G2014,H2014P6CNA,2014,6,1,1,70,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G2014,H2014P6CNA,2014,6,2,1,3319,1,1,1,0,1962;2010;2011;2014;2017;2019,2014,,,1962;2010;2011;2014;2017;2018;2019
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G2014,H2014P6CNA,2014,6,3,1,2249,0,0,0,0,,,,,1962
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G2014,H2014P6CNA,2014,6,4,1,1280,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G2014,H2014P6CNA,2014,6,5,1,1547,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G2014,H2014P6CNA,2014,6,6,1,1170,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G2014,H2014P6CNA,2014,6,7,1,807,0,0,0,0,,,,,
CN46_OBJECT_AUDIT_0.1,LTMD-CN6-G2014,H2014P6CNA,2014,6,8,1,88,0,0,0,0,,,,,
