sample_id,catalog_generation,role,page_id,viewer_page,source_asset_url,target_reference_words,reference_status,second_review_status
LTMD-CER-1993-Q1_1,1993,q1_1,LTMD-CN5-G1993-VP018,18,https://historico.conaliteg.gob.mx/c/H1993P5CI200/018.jpg,120,pending,pending
LTMD-CER-1993-Q1_2,1993,q1_2,LTMD-CN5-G1993-VP036,36,https://historico.conaliteg.gob.mx/c/H1993P5CI200/036.jpg,120,pending,pending
LTMD-CER-1993-Q2_1,1993,q2_1,LTMD-CN5-G1993-VP059,59,https://historico.conaliteg.gob.mx/c/H1993P5CI200/059.jpg,120,pending,pending
LTMD-CER-1993-Q2_2,1993,q2_2,LTMD-CN5-G1993-VP075,75,https://historico.conaliteg.gob.mx/c/H1993P5CI200/075.jpg,120,pending,pending
LTMD-CER-1993-Q2_3,1993,q2_3,LTMD-CN5-G1993-VP086,86,https://historico.conaliteg.gob.mx/c/H1993P5CI200/086.jpg,120,pending,pending
LTMD-CER-1993-Q3_1,1993,q3_1,LTMD-CN5-G1993-VP104,104,https://historico.conaliteg.gob.mx/c/H1993P5CI200/104.jpg,120,pending,pending
LTMD-CER-1993-Q3_2,1993,q3_2,LTMD-CN5-G1993-VP120,120,https://historico.conaliteg.gob.mx/c/H1993P5CI200/120.jpg,120,pending,pending
LTMD-CER-1993-Q3_3,1993,q3_3,LTMD-CN5-G1993-VP131,131,https://historico.conaliteg.gob.mx/c/H1993P5CI200/131.jpg,120,pending,pending
LTMD-CER-1993-Q4_1,1993,q4_1,LTMD-CN5-G1993-VP149,149,https://historico.conaliteg.gob.mx/c/H1993P5CI200/149.jpg,120,pending,pending
LTMD-CER-1993-Q4_2,1993,q4_2,LTMD-CN5-G1993-VP170,170,https://historico.conaliteg.gob.mx/c/H1993P5CI200/170.jpg,120,pending,pending
LTMD-CER-2014-LEGAL,2014,legal,LTMD-CN5-G2014-VP002,2,https://historico.conaliteg.gob.mx/c/H2014P5CNA/002.jpg,120,pending,pending
LTMD-CER-2014-TOC,2014,toc,LTMD-CN5-G2014-VP004,4,https://historico.conaliteg.gob.mx/c/H2014P5CNA/004.jpg,120,pending,pending
LTMD-CER-2014-Q1_1,2014,q1_1,LTMD-CN5-G2014-VP016,16,https://historico.conaliteg.gob.mx/c/H2014P5CNA/016.jpg,120,pending,pending
LTMD-CER-2014-Q1_2,2014,q1_2,LTMD-CN5-G2014-VP032,32,https://historico.conaliteg.gob.mx/c/H2014P5CNA/032.jpg,120,pending,pending
LTMD-CER-2014-Q2_1,2014,q2_1,LTMD-CN5-G2014-VP053,53,https://historico.conaliteg.gob.mx/c/H2014P5CNA/053.jpg,120,pending,pending
LTMD-CER-2014-Q2_2,2014,q2_2,LTMD-CN5-G2014-VP068,68,https://historico.conaliteg.gob.mx/c/H2014P5CNA/068.jpg,120,pending,pending
LTMD-CER-2014-Q2_3,2014,q2_3,LTMD-CN5-G2014-VP078,78,https://historico.conaliteg.gob.mx/c/H2014P5CNA/078.jpg,120,pending,pending
LTMD-CER-2014-Q3_1,2014,q3_1,LTMD-CN5-G2014-VP094,94,https://historico.conaliteg.gob.mx/c/H2014P5CNA/094.jpg,120,pending,pending
LTMD-CER-2014-Q3_2,2014,q3_2,LTMD-CN5-G2014-VP109,109,https://historico.conaliteg.gob.mx/c/H2014P5CNA/109.jpg,120,pending,pending
LTMD-CER-2014-Q3_3,2014,q3_3,LTMD-CN5-G2014-VP118,118,https://historico.conaliteg.gob.mx/c/H2014P5CNA/118.jpg,120,pending,pending
LTMD-CER-2014-Q4_1,2014,q4_1,LTMD-CN5-G2014-VP134,134,https://historico.conaliteg.gob.mx/c/H2014P5CNA/134.jpg,120,pending,pending
LTMD-CER-2014-Q4_2,2014,q4_2,LTMD-CN5-G2014-VP154,154,https://historico.conaliteg.gob.mx/c/H2014P5CNA/154.jpg,120,pending,pending
