family,category,catalog_generation,n,n11,n10,n01,n00,binary_agreement,positive_jaccard,B_precision_vs_A_descriptor,B_recall_vs_A_descriptor,prevalence_A,prevalence_B,absolute_prevalence_difference,agreement_version
action,act_on_environment,1993,2513,1,1,196,2315,0.921608,0.005051,0.005076,0.5,0.000796,0.078392,0.077596,AGREE_AB_0.1
action,observe,2014,2641,9,26,135,2471,0.939038,0.052941,0.0625,0.257143,0.013253,0.054525,0.041272,AGREE_AB_0.1
action,describe,2014,2641,1,4,98,2538,0.961378,0.009709,0.010101,0.2,0.001893,0.037486,0.035593,AGREE_AB_0.1
action,recall,2014,2641,0,5,66,2570,0.973116,0.0,0.0,0.0,0.001893,0.024991,0.023097,AGREE_AB_0.1
action,explain,2014,2641,12,16,69,2544,0.967815,0.123711,0.148148,0.428571,0.010602,0.03067,0.020068,AGREE_AB_0.1
action,compare,2014,2641,3,10,35,2593,0.982961,0.0625,0.078947,0.230769,0.004922,0.014388,0.009466,AGREE_AB_0.1
action,classify,2014,2641,0,2,50,2589,0.98031,0.0,0.0,0.0,0.000757,0.018932,0.018175,AGREE_AB_0.1
action,measure,2014,2641,5,2,46,2588,0.981825,0.09434,0.098039,0.714286,0.002651,0.019311,0.01666,AGREE_AB_0.1
action,experiment,2014,2641,2,7,175,2457,0.931087,0.01087,0.011299,0.222222,0.003408,0.06702,0.063612,AGREE_AB_0.1
action,investigate,2014,2641,12,34,83,2512,0.955699,0.093023,0.126316,0.26087,0.017418,0.035971,0.018554,AGREE_AB_0.1
action,predict,2014,2641,0,0,60,2581,0.977281,0.0,0.0,,0.0,0.022719,0.022719,AGREE_AB_0.1
action,infer,2014,2641,0,2,24,2615,0.990155,0.0,0.0,0.0,0.000757,0.009087,0.00833,AGREE_AB_0.1
action,discuss,2014,2641,4,6,32,2599,0.985612,0.095238,0.111111,0.4,0.003786,0.013631,0.009845,AGREE_AB_0.1
action,solve,2014,2641,5,3,162,2471,0.937524,0.029412,0.02994,0.625,0.003029,0.063234,0.060204,AGREE_AB_0.1
action,create,2014,2641,4,18,47,2572,0.975388,0.057971,0.078431,0.181818,0.00833,0.019311,0.010981,AGREE_AB_0.1
action,decide,2014,2641,1,3,124,2513,0.951912,0.007812,0.008,0.25,0.001515,0.047331,0.045816,AGREE_AB_0.1
action,act_on_environment,2014,2641,5,3,182,2451,0.929951,0.026316,0.026738,0.625,0.003029,0.070807,0.067777,AGREE_AB_0.1
action,observe,ALL,9594,55,102,738,8699,0.912445,0.061453,0.069357,0.350318,0.016364,0.082656,0.066291,AGREE_AB_0.1
action,describe,ALL,9594,2,7,645,8940,0.932041,0.003058,0.003091,0.222222,0.000938,0.067438,0.0665,AGREE_AB_0.1
action,recall,ALL,9594,8,21,329,9236,0.963519,0.022346,0.023739,0.275862,0.003023,0.035126,0.032103,AGREE_AB_0.1
action,explain,ALL,9594,72,114,570,8838,0.928705,0.095238,0.11215,0.387097,0.019387,0.066917,0.04753,AGREE_AB_0.1
action,compare,ALL,9594,17,41,253,9283,0.969356,0.054662,0.062963,0.293103,0.006045,0.028143,0.022097,AGREE_AB_0.1
action,classify,ALL,9594,2,8,245,9339,0.973629,0.007843,0.008097,0.2,0.001042,0.025745,0.024703,AGREE_AB_0.1
action,measure,ALL,9594,19,14,236,9325,0.973942,0.070632,0.07451,0.575758,0.00344,0.026579,0.023139,AGREE_AB_0.1
action,experiment,ALL,9594,4,10,817,8763,0.9138,0.004813,0.004872,0.285714,0.001459,0.085574,0.084115,AGREE_AB_0.1
action,investigate,ALL,9594,36,48,425,9085,0.950698,0.070727,0.078091,0.428571,0.008755,0.048051,0.039295,AGREE_AB_0.1
action,predict,ALL,9594,0,1,428,9165,0.955285,0.0,0.0,0.0,0.000104,0.044611,0.044507,AGREE_AB_0.1
action,infer,ALL,9594,2,4,169,9419,0.981968,0.011429,0.011696,0.333333,0.000625,0.017824,0.017198,AGREE_AB_0.1
action,discuss,ALL,9594,27,34,226,9307,0.9729,0.094077,0.106719,0.442623,0.006358,0.026371,0.020013,AGREE_AB_0.1
action,solve,ALL,9594,19,4,841,8730,0.911924,0.021991,0.022093,0.826087,0.002397,0.089639,0.087242,AGREE_AB_0.1
action,create,ALL,9594,27,61,217,9289,0.971024,0.088525,0.110656,0.306818,0.009172,0.025433,0.01626,AGREE_AB_0.1
action,decide,ALL,9594,7,8,584,8995,0.938295,0.011686,0.011844,0.466667,0.001563,0.061601,0.060038,AGREE_AB_0.1
action,act_on_environment,ALL,9594,7,4,658,8925,0.930999,0.010463,0.010526,0.636364,0.001147,0.069314,0.068168,AGREE_AB_0.1
position,receiver,1972,2809,99,344,225,2141,0.797437,0.148204,0.305556,0.223476,0.157707,0.115344,0.042364,AGREE_AB_0.1
position,instruction_follower,1972,2809,21,316,192,2280,0.819153,0.039698,0.098592,0.062315,0.119972,0.075828,0.044144,AGREE_AB_0.1
position,observer,1972,2809,31,23,419,2336,0.842649,0.065539,0.068889,0.574074,0.019224,0.160199,0.140975,AGREE_AB_0.1
position,experimenter,1972,2809,0,0,742,2067,0.735849,0.0,0.0,,0.0,0.264151,0.264151,AGREE_AB_0.1
position,investigator,1972,2809,10,1,547,2251,0.804913,0.017921,0.017953,0.909091,0.003916,0.198291,0.194375,AGREE_AB_0.1
position,reasoner,1972,2809,46,88,184,2491,0.903168,0.144654,0.2,0.343284,0.047704,0.08188,0.034176,AGREE_AB_0.1
position,collaborator,1972,2809,13,9,334,2453,0.877892,0.036517,0.037464,0.590909,0.007832,0.123532,0.1157,AGREE_AB_0.1
position,decision_maker,1972,2809,1,0,411,2397,0.853685,0.002427,0.002427,1.0,0.000356,0.146671,0.146315,AGREE_AB_0.1
position,community_agent,1972,2809,0,0,237,2572,0.915628,0.0,0.0,,0.0,0.084372,0.084372,AGREE_AB_0.1
position,receiver,1988,1631,73,201,134,1223,0.794605,0.178922,0.352657,0.266423,0.167995,0.126916,0.041079,AGREE_AB_0.1
position,instruction_follower,1988,1631,14,174,96,1347,0.834457,0.049296,0.127273,0.074468,0.115267,0.067443,0.047823,AGREE_AB_0.1
position,observer,1988,1631,7,11,205,1408,0.867566,0.03139,0.033019,0.388889,0.011036,0.129982,0.118945,AGREE_AB_0.1
position,experimenter,1988,1631,2,1,388,1240,0.761496,0.005115,0.005128,0.666667,0.001839,0.239117,0.237278,AGREE_AB_0.1
position,investigator,1988,1631,6,3,299,1323,0.814838,0.019481,0.019672,0.666667,0.005518,0.187002,0.181484,AGREE_AB_0.1
position,reasoner,1988,1631,13,30,98,1490,0.921521,0.092199,0.117117,0.302326,0.026364,0.068056,0.041692,AGREE_AB_0.1
position,collaborator,1988,1631,5,1,186,1439,0.885346,0.026042,0.026178,0.833333,0.003679,0.117106,0.113427,AGREE_AB_0.1
position,decision_maker,1988,1631,0,0,240,1391,0.852851,0.0,0.0,,0.0,0.147149,0.147149,AGREE_AB_0.1
position,community_agent,1988,1631,0,1,130,1500,0.919681,0.0,0.0,0.0,0.000613,0.079706,0.079093,AGREE_AB_0.1
position,receiver,1993,2513,106,366,209,1832,0.77119,0.155653,0.336508,0.224576,0.187823,0.125348,0.062475,AGREE_AB_0.1
position,instruction_follower,1993,2513,29,359,63,2062,0.832073,0.064302,0.315217,0.074742,0.154397,0.03661,0.117788,AGREE_AB_0.1
position,observer,1993,2513,24,26,191,2272,0.913649,0.099585,0.111628,0.48,0.019897,0.085555,0.065659,AGREE_AB_0.1
position,experimenter,1993,2513,2,0,577,1934,0.770394,0.003454,0.003454,1.0,0.000796,0.230402,0.229606,AGREE_AB_0.1
position,investigator,1993,2513,13,5,274,2221,0.888977,0.044521,0.045296,0.722222,0.007163,0.114206,0.107043,AGREE_AB_0.1
position,reasoner,1993,2513,9,35,117,2352,0.939515,0.055901,0.071429,0.204545,0.017509,0.050139,0.03263,AGREE_AB_0.1
position,collaborator,1993,2513,20,3,258,2232,0.89614,0.071174,0.071942,0.869565,0.009152,0.110625,0.101472,AGREE_AB_0.1
position,decision_maker,1993,2513,6,4,323,2180,0.869877,0.018018,0.018237,0.6,0.003979,0.130919,0.12694,AGREE_AB_0.1
position,community_agent,1993,2513,2,0,215,2296,0.914445,0.009217,0.009217,1.0,0.000796,0.086351,0.085555,AGREE_AB_0.1
position,receiver,2014,2641,111,204,238,2088,0.832639,0.200723,0.318052,0.352381,0.119273,0.132147,0.012874,AGREE_AB_0.1
position,instruction_follower,2014,2641,6,226,42,2367,0.898523,0.021898,0.125,0.025862,0.087846,0.018175,0.069671,AGREE_AB_0.1
position,observer,2014,2641,18,17,190,2416,0.921621,0.08,0.086538,0.514286,0.013253,0.078758,0.065505,AGREE_AB_0.1
position,experimenter,2014,2641,8,1,351,2281,0.866717,0.022222,0.022284,0.888889,0.003408,0.135933,0.132526,AGREE_AB_0.1
position,investigator,2014,2641,31,15,251,2344,0.899281,0.104377,0.109929,0.673913,0.017418,0.106778,0.08936,AGREE_AB_0.1
position,reasoner,2014,2641,13,38,91,2499,0.951155,0.091549,0.125,0.254902,0.019311,0.039379,0.020068,AGREE_AB_0.1
position,collaborator,2014,2641,8,2,204,2427,0.921999,0.037383,0.037736,0.8,0.003786,0.080273,0.076486,AGREE_AB_0.1
position,decision_maker,2014,2641,2,2,196,2441,0.925028,0.01,0.010101,0.5,0.001515,0.074972,0.073457,AGREE_AB_0.1
position,community_agent,2014,2641,3,5,183,2450,0.928815,0.015707,0.016129,0.375,0.003029,0.070428,0.067399,AGREE_AB_0.1
position,receiver,ALL,9594,389,1115,806,7284,0.799771,0.168398,0.325523,0.258644,0.156765,0.124557,0.032208,AGREE_AB_0.1
position,instruction_follower,ALL,9594,70,1075,393,8056,0.846988,0.045514,0.151188,0.061135,0.119345,0.048259,0.071086,AGREE_AB_0.1
position,observer,ALL,9594,80,77,1005,8432,0.887221,0.068847,0.073733,0.509554,0.016364,0.113092,0.096727,AGREE_AB_0.1
position,experimenter,ALL,9594,12,2,2058,7522,0.785282,0.005792,0.005797,0.857143,0.001459,0.21576,0.214301,AGREE_AB_0.1
position,investigator,ALL,9594,60,24,1371,8139,0.854597,0.041237,0.041929,0.714286,0.008755,0.149156,0.1404,AGREE_AB_0.1
position,reasoner,ALL,9594,81,191,490,8832,0.929018,0.106299,0.141856,0.297794,0.028351,0.059516,0.031165,AGREE_AB_0.1
position,collaborator,ALL,9594,46,15,982,8551,0.896081,0.044104,0.044747,0.754098,0.006358,0.10715,0.100792,AGREE_AB_0.1
position,decision_maker,ALL,9594,9,6,1170,8409,0.877423,0.007595,0.007634,0.6,0.001563,0.122889,0.121326,AGREE_AB_0.1
position,community_agent,ALL,9594,5,6,765,8818,0.919637,0.006443,0.006494,0.454545,0.001147,0.080258,0.079112,AGREE_AB_0.1
