source_object_id,viewer_key,observed_at,pypdf_encrypted,pypdf_blank_password_result,pypdf_error_type,pymupdf_needs_password,pymupdf_blank_password_result,pymupdf_error_type,pikepdf_blank_password_open,pikepdf_error_type,text_access_observation_state,embedded_text_sample_state,ocr_available_state,text_verified_state,source_pdf_persisted,extracted_text_persisted
CONALITEG:2026:primaria:P4MLA,P4MLA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P4PAA,P4PAA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P4PCA,P4PCA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P4PEA,P4PEA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P4SDA,P4SDA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P5LPM,P5LPM,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P5MLA,P5MLA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P5PAA,P5PAA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P5PCA,P5PCA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P5PEA,P5PEA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P5SDA,P5SDA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P6MLA,P6MLA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P6PAA,P6PAA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P6PCA,P6PCA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P6PEA,P6PEA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P6SDA,P6SDA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
