ledger_version,attempt_id,attempt_date,wave,viewer_key,tracking_issue,method,scope,query_or_target,outcome,evidence_reference,evidence_sha256,admissibility,state_before,state_after,notes
LTMD_U1_RETAINED_SOURCE_ATTEMPTS_0.1,RS-20260827-015,2026-08-27,W2,H2018P4DMA,4,exact_key_index_search,official_CONALITEG_domains_and_public_web_indexes,"\"H2018P4DMA\"",no_indexed_result,search:exact-viewer-key,,discovery_only,active_retention,active_retention,"No exact-key indexed result surfaced; negative indexing is not evidence that the historical source did not exist"
LTMD_U1_RETAINED_SOURCE_ATTEMPTS_0.1,RS-20260827-016,2026-08-27,W2,H2018P5DMA,4,exact_key_index_search,official_CONALITEG_domains_and_public_web_indexes,"\"H2018P5DMA\"",no_indexed_result,search:exact-viewer-key,,discovery_only,active_retention,active_retention,"No exact-key indexed result surfaced; negative indexing is not evidence that the historical source did not exist"
LTMD_U1_RETAINED_SOURCE_ATTEMPTS_0.1,RS-20260827-017,2026-08-27,W2,H2018P6DMA,4,exact_key_index_search,official_CONALITEG_domains_and_public_web_indexes,"\"H2018P6DMA\"",no_indexed_result,search:exact-viewer-key,,discovery_only,active_retention,active_retention,"No exact-key indexed result surfaced; negative indexing is not evidence that the historical source did not exist"
LTMD_U1_RETAINED_SOURCE_ATTEMPTS_0.1,RS-20260827-018,2026-08-27,W7,H2014P5FCA,5,exact_key_index_search,official_CONALITEG_domains_and_public_web_indexes,"\"H2014P5FCA\" \"104.jpg\"",no_indexed_result,search:exact-viewer-key-and-page,,discovery_only,active_retention,active_retention,"No exact-key/page indexed result surfaced; this does not establish archival absence of 104.jpg"
LTMD_U1_RETAINED_SOURCE_ATTEMPTS_0.1,RS-20260827-019,2026-08-27,W7,H2018P3FCA,5,exact_key_index_search,official_CONALITEG_domains_and_public_web_indexes,"\"H2018P3FCA\"",no_indexed_result,search:exact-viewer-key,,discovery_only,active_retention,active_retention,"No exact-key indexed result surfaced; negative indexing is not evidence that the historical source did not exist"
LTMD_U1_RETAINED_SOURCE_ATTEMPTS_0.1,RS-20260827-020,2026-08-27,W7,H2018P4FCA,5,exact_key_index_search,official_CONALITEG_domains_and_public_web_indexes,"\"H2018P4FCA\"",no_indexed_result,search:exact-viewer-key,,discovery_only,active_retention,active_retention,"No exact-key indexed result surfaced; negative indexing is not evidence that the historical source did not exist"
LTMD_U1_RETAINED_SOURCE_ATTEMPTS_0.1,RS-20260827-021,2026-08-27,W7,H2018P5FCA,5,exact_key_index_search,official_CONALITEG_domains_and_public_web_indexes,"\"H2018P5FCA\"",no_indexed_result,search:exact-viewer-key,,discovery_only,active_retention,active_retention,"No exact-key indexed result surfaced; negative indexing is not evidence that the historical source did not exist"
LTMD_U1_RETAINED_SOURCE_ATTEMPTS_0.1,RS-20260827-022,2026-08-27,W7,H2018P6FCA,5,exact_key_index_search,official_CONALITEG_domains_and_public_web_indexes,"\"H2018P6FCA\"",no_indexed_result,search:exact-viewer-key,,discovery_only,active_retention,active_retention,"No exact-key indexed result surfaced; negative indexing is not evidence that the historical source did not exist"
LTMD_U1_RETAINED_SOURCE_ATTEMPTS_0.1,RS-20260827-023,2026-08-27,W8,H2018P3EAA,9,exact_key_index_search,official_CONALITEG_domains_and_public_web_indexes,"\"H2018P3EAA\"",no_indexed_result,search:exact-viewer-key,,discovery_only,active_retention,active_retention,"No exact-key indexed result surfaced; negative indexing is not evidence that the historical source did not exist"
LTMD_U1_RETAINED_SOURCE_ATTEMPTS_0.1,RS-20260827-024,2026-08-27,W8,H2018P4EAA,9,exact_key_index_search,official_CONALITEG_domains_and_public_web_indexes,"\"H2018P4EAA\"",no_indexed_result,search:exact-viewer-key,,discovery_only,active_retention,active_retention,"No exact-key indexed result surfaced; negative indexing is not evidence that the historical source did not exist"
LTMD_U1_RETAINED_SOURCE_ATTEMPTS_0.1,RS-20260827-025,2026-08-27,W8,H2018P5EAA,9,exact_key_index_search,official_CONALITEG_domains_and_public_web_indexes,"\"H2018P5EAA\"",no_indexed_result,search:exact-viewer-key,,discovery_only,active_retention,active_retention,"No exact-key indexed result surfaced; negative indexing is not evidence that the historical source did not exist"
LTMD_U1_RETAINED_SOURCE_ATTEMPTS_0.1,RS-20260827-026,2026-08-27,W8,H2018P6EAA,9,exact_key_index_search,official_CONALITEG_domains_and_public_web_indexes,"\"H2018P6EAA\"",no_indexed_result,search:exact-viewer-key,,discovery_only,active_retention,active_retention,"No exact-key indexed result surfaced; negative indexing is not evidence that the historical source did not exist"
